,Survey,Clean_Text,Label_prediksi
0,Dipertahankan,tahan,positif
1,Tidak ada udah sangat bagus,bagus,positif
2,Tetap semangat dan sabar dalam menyampaikan materi kepada siswa. semangat saya semangat juga bapak,semangat sabar materi siswa semangat semangat,positif
3,untuk praktikum berikutnya diperbanyak menggunakan alat,praktikum banyak alat,negatif
4,Semoga kedepannya bisa lebih menjadi lebih baik dalam pembelajaran.,moga depan ajar,positif
5,"sudah cukup baik dalam mengajar, saat memberikan materi Siswa mudah memahami",ajar materi siswa mudah paham,positif
6,sudah sangat bagus dalam mengajar meskipun kadang terlalu cepat dalam penyampaian materi,bagus ajar kadang cepat sampai materi,negatif
7,menurut saya pak kalau menjelaskan materi jangan terlalu cepat,materi cepat,negatif
8,Saat menjelaskan agar tidak terlalu cepat,cepat,negatif
9,Materi yang disampaikan cukup dapat dimengerti. dan guru pengampunya ramah dengan Siswa,materi erti guru ampu ramah siswa,negatif
10,Sudah baik mungkin perlu untuk memperjelas lagi dalam menyampaikan case atau contoh yang terjadi. untuk yang lainnya sudah baik bisa di pertahankan,jelas contoh tahan,positif
11,seharusnya bisa offline,offline,negatif
12,Dikurangi mengkritiknya,rang kritik,positif
13,Bu lain kali kalau menyampaikan materi jangan baca PPT bu karena kami sebagai Siswa juga bosan lamalama karena guru hanya baca ppt saja tanpa improvisasi.,bu materi baca powerpoint bu siswa bosan lamalama guru baca powerpoint improvisasi,negatif
14,baik terus tingkatkan,tingkat,positif
15,"Saran dari saya, Ibu Guru dapat menggunakan sistem pembelajaran yang baru dan efisien",saran guru sistem ajar efisien,positif
16,"Cara penyampain sudah baik, tetapi terkadang agak cepat dalam menjelaskan materi",penyampain terkadang cepat materi,negatif
17,"Tidak ada, Selama Pelajaran Sistem Operasi selalu lancar",ajar sistem operasi lancar,positif
18,penjelasannya sangat jelas,jelas,positif
19,"Lebih ditingkatkan lagi dari segi pengajaran dan pembelajaran, terima kasih.",tingkat segi ajar ajar terima kasih,positif
20,"Untuk sebelum pemberian tugas besar pengganti UAS lebih baik dikasih materi terlebih dahulu ,agar waktu pengerjaan tugas besar tidak bingung",beri tugas ganti uji akhir semester kasih materi waktu kerja tugas bingung,negatif
21,Sudah cukup baik semoga lebih baik,moga,positif
22,"Tambah fasilitas yang menunjang pembelajaran seperti kursi yang baik, televisi untuk presentasi",fasilitas tunjang ajar kursi televisi presentasi,negatif
23,Saya seneng ikut kelas bapak. Respect pak,neng kelas hormat,negatif
24,"dalam mengajar terkadang terlalu cepat tapi masih bisa mengikuti, kemudian ketika kuis soal yang diberikan level nya lebih hots dibandingkan soal latihan :)",ajar terkadang cepat ikut kuis level hots banding latih,negatif
25,tidak ada saran udah bagus,saran bagus,positif
26,"belum ada saran, guru sangat baik dalam mengajari siswanya. mapel favorit.",saran guru ajar siswa mata ajar favorit,positif
27,tugas nya mungkin bisa sedikit di kurangin terima kasih,tugas rangin terima kasih,positif
28,"sangat baik semua, semoga kedepannya lebih baik lagi amin dan ibunya sabar banget ngadepin yang belom paham hehe terimakasih ibu",moga depan amin ibu sabar ngadepin paham wkwkwk terimakasih,positif
29,baiik,baiik,positif
30,konsisten untuk cara pengajaran nya pak karena mudah dipahami,konsisten ajar mudah paham,positif
31,No question,question,positif
32,"Tetap semangat dan sabar dalam menyampaikan materi kepada siswa, tidak semua Siswa mempunyai latar belakang pemahaman alpro yang sama. semangat saya semangat juga bapak",semangat sabar materi siswa siswa latar paham alpro semangat semangat,positif
33,Sejauh ini belum ada,,positif
34,"Secara keseluruhan cara penyampaian Ibu sudah bagus dan bisa saya mengerti, Ibu juga sudah tepat waktu datang di kelas untuk mengajar pada jam mataPelajaran yang sekolahtentukan.",sampai bagus erti waktu kelas ajar jam mata ajar sekolah tentu,negatif
35,tetap semangat untuk mendidik Siswa nya enggeh bu :),semangat didik siswa enggeh bu,positif
36,buk sangat telaten dalam penyampaian materi kepada siswa/i,teliti sampai materi siswa siswi,negatif
37,"sudah bagus pak, mungkin nilai kuiz nya bisa di spill dikit pak",bagus nilai kuiz spill,positif
38,Diharapkan kelas mtl ini bisa dilakukan secara offline agar materinya lebih tersampaikan dengan baik,harap kelas mtl offline materi,negatif
39,harapan saya kepada guru pengampu ketika mengganti jam Pelajaran harap dikonfirmasi sehari sebelumnya,harap guru ampu ganti jam ajar harap konfirmasi hari,negatif
40,untuk latihan soal sebaiknya disesuaikan dengan materi yang ada jangan terlalu susah dan jangan terlalu mudah,latih sesuai materi susah mudah,negatif
41,"Bu guru kurang memenuhi beberapa aspek seperti pola pembelajaran, lebih baiknya jika cara mengajar lebih dijelaskan serta sedikit mendetail agar siswa/i bisa memahami apa yang sedang diajarkan dan tidak hanya mendengarkan record pembelajaran dari kelas sebelumnya",bu guru penuh aspek pola ajar baik ajar detail siswa siswi paham ajar dengar rekam ajar kelas,positif
42,semoga kalo ketemu di semester depan bisa di nerf sedikit tugastugasnya jangan terlalu overpowered tugas nya,moga ketemu semester nerf tugastugasnya overpowered tugas,positif
43,Sudah baik namun alangkah baiknya jika di saat pelajaran yg rumit dikasi jeda 10 menit.,alangkah baik ajar rumit kasi jeda menit,positif
44,Semoga guru lebih fokus lagi pada materi yang diajarkan,moga guru fokus materi ajar,positif
45,Guru sangat baik semoga berkah ilmu yang di ajarkan kepada kita semua aamiin,guru moga berkah ilmu ajar amin,positif
46,Slow down bu otak saya gakuat,slow bu otak gakuat,positif
47,"udah bagus, semangat mengajarnya bu",bagus semangat ajar bu,positif
48,pembelajaran yang menyenangkan dan mudah dipahami.. makasiii bu,ajar senang mudah paham terimakasih bu,positif
49,terimakasih buuu,terimakasih bu,positif
