,Survey,Clean_Text,Label
0,Dipertahankan,tahan,positif
1,Tidak ada udah sangat bagus,tidak ada sangat bagus,positif
2,Tetap semangat dan sabar dalam menyampaikan materi kepada siswa. semangat saya semangat juga bapak,semangat sabar materi siswa semangat semangat,positif
3,untuk praktikum berikutnya diperbanyak menggunakan alat,untuk praktikum banyak alat,negatif
4,Semoga kedepannya bisa lebih menjadi lebih baik dalam pembelajaran.,moga depan baik ajar,positif
5,"sudah cukup baik dalam mengajar, saat memberikan materi Siswa mudah memahami",cukup baik ajar saat materi siswa mudah paham,positif
6,sudah sangat bagus dalam mengajar meskipun kadang terlalu cepat dalam penyampaian materi,sangat bagus ajar kadang cepat sampai materi,negatif
7,menurut saya pak kalau menjelaskan materi jangan terlalu cepat,materi cepat,negatif
8,Saat menjelaskan agar tidak terlalu cepat,saat tidak cepat,negatif
9,Materi yang disampaikan cukup dapat dimengerti. dan guru pengampunya ramah dengan Siswa,materi yang cukup erti guru ampu ramah siswa,positif
10,Sudah baik mungkin perlu untuk memperjelas lagi dalam menyampaikan case atau contoh yang terjadi. untuk yang lainnya sudah baik bisa di pertahankan,baik untuk jelas contoh yang untuk yang baik tahan,positif
11,seharusnya bisa offline,offline,negatif
12,Dikurangi mengkritiknya,rang kritik,positif
13,Bu lain kali kalau menyampaikan materi jangan baca PPT bu karena kami sebagai Siswa juga bosan lamalama karena guru hanya baca ppt saja tanpa improvisasi.,bu materi baca powerpoint bu siswa bosan lamalama guru baca powerpoint improvisasi,negatif
14,baik terus tingkatkan,baik tingkat,positif
15,"Saran dari saya, Ibu Guru dapat menggunakan sistem pembelajaran yang baru dan efisien",saran guru sistem ajar yang efisien,positif
16,"Cara penyampain sudah baik, tetapi terkadang agak cepat dalam menjelaskan materi",penyampain baik terkadang cepat materi,negatif
17,"Tidak ada, Selama Pelajaran Sistem Operasi selalu lancar",tidak ada ajar sistem operasi lancar,positif
18,penjelasannya sangat jelas,jelas sangat,positif
19,"Lebih ditingkatkan lagi dari segi pengajaran dan pembelajaran, terima kasih.",tingkat segi ajar ajar terima kasih,positif
20,"Untuk sebelum pemberian tugas besar pengganti UAS lebih baik dikasih materi terlebih dahulu ,agar waktu pengerjaan tugas besar tidak bingung",untuk beri tugas ganti uji akhir semester baik kasih materi waktu kerja tugas tidak bingung,negatif
21,Sudah cukup baik semoga lebih baik,cukup baik moga baik,positif
22,"Tambah fasilitas yang menunjang pembelajaran seperti kursi yang baik, televisi untuk presentasi",fasilitas yang tunjang ajar kursi yang baik televisi untuk presentasi,positif
23,Saya seneng ikut kelas bapak. Respect pak,neng kelas hormat,positif
24,"dalam mengajar terkadang terlalu cepat tapi masih bisa mengikuti, kemudian ketika kuis soal yang diberikan level nya lebih hots dibandingkan soal latihan :)",ajar terkadang cepat ikut kuis yang level hots banding latih,negatif
25,tidak ada saran udah bagus,tidak ada saran bagus,positif
26,"belum ada saran, guru sangat baik dalam mengajari siswanya. mapel favorit.",belum ada saran guru sangat baik ajar siswa mata ajar favorit,positif
27,tugas nya mungkin bisa sedikit di kurangin terima kasih,tugas rangin terima kasih,negatif
28,"sangat baik semua, semoga kedepannya lebih baik lagi amin dan ibunya sabar banget ngadepin yang belom paham hehe terimakasih ibu",sangat baik moga depan baik amin ibu sabar sangat ngadepin yang belum paham wkwkwk terimakasih,positif
29,baiik,baik,positif
30,konsisten untuk cara pengajaran nya pak karena mudah dipahami,konsisten untuk ajar mudah paham,positif
31,No question,no question,positif
32,"Tetap semangat dan sabar dalam menyampaikan materi kepada siswa, tidak semua Siswa mempunyai latar belakang pemahaman alpro yang sama. semangat saya semangat juga bapak",semangat sabar materi siswa tidak siswa latar paham alpro yang semangat semangat,positif
33,Sejauh ini belum ada,jauh ini belum ada,positif
34,"Secara keseluruhan cara penyampaian Ibu sudah bagus dan bisa saya mengerti, Ibu juga sudah tepat waktu datang di kelas untuk mengajar pada jam mataPelajaran yang sekolahtentukan.",sampai bagus erti waktu kelas untuk ajar jam mata ajar yang sekolah tentu,positif
35,tetap semangat untuk mendidik Siswa nya enggeh bu :),semangat untuk didik siswa enggeh bu,positif
36,buk sangat telaten dalam penyampaian materi kepada siswa/i,sangat teliti sampai materi siswa siswi,negatif
37,"sudah bagus pak, mungkin nilai kuiz nya bisa di spill dikit pak",bagus nilai kuiz spill,positif
38,Diharapkan kelas mtl ini bisa dilakukan secara offline agar materinya lebih tersampaikan dengan baik,harap kelas mtl ini offline materi baik,negatif
39,harapan saya kepada guru pengampu ketika mengganti jam Pelajaran harap dikonfirmasi sehari sebelumnya,harap guru ampu ganti jam ajar harap konfirmasi hari,negatif
40,untuk latihan soal sebaiknya disesuaikan dengan materi yang ada jangan terlalu susah dan jangan terlalu mudah,untuk latih sesuai materi yang ada susah mudah,negatif
41,"Bu guru kurang memenuhi beberapa aspek seperti pola pembelajaran, lebih baiknya jika cara mengajar lebih dijelaskan serta sedikit mendetail agar siswa/i bisa memahami apa yang sedang diajarkan dan tidak hanya mendengarkan record pembelajaran dari kelas sebelumnya",bu guru kurang penuh aspek pola ajar baik ajar detail siswa siswi paham yang ajar tidak dengar rekam ajar kelas,negatif
42,semoga kalo ketemu di semester depan bisa di nerf sedikit tugastugasnya jangan terlalu overpowered tugas nya,moga ketemu semester nerf tugastugasnya overpowered tugas,positif
43,Sudah baik namun alangkah baiknya jika di saat pelajaran yg rumit dikasi jeda 10 menit.,baik alangkah baik saat ajar yang rumit kasi jeda menit,positif
44,Semoga guru lebih fokus lagi pada materi yang diajarkan,moga guru fokus materi yang ajar,positif
45,Guru sangat baik semoga berkah ilmu yang di ajarkan kepada kita semua aamiin,guru sangat baik moga berkah ilmu yang ajar amin,positif
46,Slow down bu otak saya gakuat,slow down bu otak gakuat,positif
47,"udah bagus, semangat mengajarnya bu",bagus semangat ajar bu,positif
48,pembelajaran yang menyenangkan dan mudah dipahami.. makasiii bu,ajar yang senang mudah paham terimakasih bu,positif
49,terimakasih buuu,terimakasih bu,positif
50,Tidak ada sudah bagus:),tidak ada bagus,positif
51,"Mohon maaf Pak sebelumnya, untuk kedepan nya lebih kan lagi interaksi kepada Siswa agar Siswa lebih tertarik dan paham akan materi yang dibawakan, mungkin dengan menjelaskan contoh materi atau gambaran secara langsung yang dijelaskan di papan tulis lebih sering lagi, terima kasih untuk bimbingan nya selama satu semester ini, semoga ilmu yang diberikan bisa menjadi untuk Bapak dan bermanfaat bagi saya dan temanteman sekalian, aamiin",maaf untuk depan interaksi siswa siswa tarik paham materi yang bawa contoh materi gambar yang papan tulis terima kasih untuk bimbing semester ini moga ilmu yang untuk manfaat teman teman amin,negatif
52,kedepannya bisa lebih baik lagi,depan baik,positif
53,sudah baik dalam pengajarannya,baik ajar,positif
54,cukup baik dalam mengajar,cukup baik ajar,positif
55,MUNGKIN UNTUK PENYAMPAIAN MATERINYA BISA DI TAMBAHI LAGI,untuk sampai materi tambah,negatif
56,Ibu Guru sudah cukup baik dalam berinteraksi,guru cukup baik interaksi,positif
